1594915927174 DEVICE_BOUNDARIES 798 1278
1594915943290 0 719 873 -1
1594915943302 0 722 868 -1
1594915943312 0 726 862 -1
1594915943326 0 731 856 -1
1594915943340 0 738 850 -1
1594915943349 0 744 840 -1
1594915943361 0 754 827 -1
1594915943717 0 681 986 -1
1594915943759 0 682 974 -1
1594915943771 0 684 965 -1
1594915943785 0 687 952 -1
1594915943799 0 690 937 -1
1594915943811 0 693 924 -1
1594915943820 0 695 911 -1
1594915943833 0 698 902 -1
1594915943847 0 700 892 -1
1594915943858 0 703 882 -1
1594915943869 0 709 873 -1
1594915943882 0 726 851 -1
1594915944303 0 682 973 1
1594915944327 0 683 971 1
1594915944337 0 685 966 1
1594915944350 0 689 959 1
1594915944383 0 695 944 1
1594915944401 0 699 927 1
1594915944401 0 705 912 1
1594915944411 0 716 888 1
1594915944411 0 734 865 1
1594915944423 0 750 839 1
1594915944780 0 684 971 -1
1594915944815 0 686 969 -1
1594915944840 0 687 967 -1
1594915944867 0 688 962 -1
1594915944935 0 689 948 -1
1594915945027 0 690 937 -1
1594915945071 0 691 933 -1
1594915945081 0 692 926 -1
1594915945082 0 695 914 -1
1594915945126 0 699 901 -1
1594915945127 0 705 889 -1
1594915945127 0 725 865 -1
1594915945127 0 745 841 -1
1594915945488 0 687 970 1
1594915945525 0 688 968 1
1594915945570 0 689 963 1
1594915945578 0 691 960 1
1594915945579 0 692 956 1
1594915945585 0 693 953 1
1594915945597 0 695 950 1
1594915945609 0 696 946 1
1594915945622 0 697 943 1
1594915945633 0 698 941 1
1594915945659 0 699 936 1
1594915945682 0 700 932 1
1594915945745 0 701 927 1
1594915945852 0 702 920 1
1594915945890 0 703 917 1
1594915945914 0 704 913 1
1594915945950 0 705 899 1
1594915945975 0 706 887 1
1594915945988 0 707 883 1
1594915946001 0 708 878 1
1594915946012 0 715 868 1
1594915946024 0 724 855 1
1594915946467 0 674 989 -1
1594915946528 0 676 986 -1
1594915946541 0 677 984 -1
1594915946554 0 678 982 -1
1594915946588 0 677 972 -1
1594915946614 0 676 966 -1
1594915946625 0 675 963 -1
1594915946651 0 674 959 -1
1594915946674 0 673 956 -1
1594915946868 0 674 939 -1
1594915946881 0 675 937 -1
1594915946893 0 676 933 -1
1594915946904 0 677 929 -1
1594915946918 0 680 922 -1
1594915946930 0 686 911 -1
1594915946941 0 691 898 -1
1594915946955 0 708 876 -1
1594915946965 0 729 849 -1
1594915947388 0 672 995 -1
1594915947425 0 671 993 -1
1594915947435 0 672 992 -1
1594915947461 0 673 991 -1
1594915947484 0 674 989 -1
1594915947497 0 675 987 -1
1594915947521 0 676 981 -1
1594915947546 0 677 976 -1
1594915947618 0 676 964 -1
1594915947728 0 675 951 -1
1594915947761 0 676 947 -1
1594915947787 0 677 941 -1
